accession	CONTRL_SAMPLE250	CONTRL_SAMPLE251	CONTRL_SAMPLE253	CONTRL_SAMPLE254	CONTRL_SAMPLE255	CONTRL_SAMPLE256	NR_SAMPLE258	NR_SAMPLE259	NR_SAMPLE260	NR_SAMPLE261	NR_SAMPLE264	NR_SAMPLE265
35	1004.540176	1032.209054	1080.704491	1051.767858	924.9060336	1026.232349	1937.231941	1424.528413	1328.933796	1347.538087	1236.031081	1142.336374
36	706.5936628	624.5996194	730.0894801	615.1383785	579.5483226	698.1932289	1271.781916	1007.25042	921.9305821	935.6906781	827.2476935	762.1559597
37	649.2065302	660.6286549	701.6595538	594.2892542	566.0197297	632.1617117	1283.73945	917.6458607	931.0613647	976.9760186	827.4817954	730.7817778
38	1307.319691	975.2926846	1003.182706	953.0766326	1065.819669	1291.228418	1611.845891	1552.883704	1181.629746	1403.279589	1388.703954	1278.777598
39	1198.252665	1249.077781	1225.863882	1027.564026	1033.032013	1088.565577	902.6710547	1078.145864	960.0615835	949.2261852	1026.86255	908.1142036
40	110.5286317	247.5643966	257.3661242	128.9042097	218.4958607	260.7481324	415.0810989	381.3581647	313.3342661	262.5738972	522.6854436	364.6732654
41	1742.965549	1680.246811	1829.93349	1601.047282	1761.303349	1592.800506	1557.377328	1340.402959	1442.003735	1570.775918	1562.640373	1367.744939
42	321.2174338	494.7503069	515.0042506	465.7811096	427.3862249	549.9230367	546.3082853	714.5576718	625.5242981	523.974799	585.927929	540.1040771
43	700.0354605	919.9314431	974.0359515	852.3610815	806.8240884	803.3488794	1309.165186	1191.362121	1254.271515	1183.501613	1140.108734	938.8973817
44	545.6158734	772.0927591	859.2817843	726.6021386	694.3918005	637.6658153	1071.751888	1043.08057	1032.437097	1007.383392	951.2761676	840.666597
